IncidentNum,ReportedDateTime,Location,City,State,ZIP,Latitude,Longitude,WeaponUsed
182550010,2018-09-12 1:03:00,4327 N 26TH ST,Milwaukee,WI,53209,43.09586,-87.946,"FIREARM,HANDGUN"
182500130,2018-09-07 17:45:00,5750 W FOND DU LAC AV,Milwaukee,WI,53216,43.09702,-87.9847,FIREARM
182460176,2018-09-03 21:24:00,2841 W HIGHLAND BL,Milwaukee,WI,53208,43.04413,-87.9502,LETHAL CUTTING INSTRUMENT
182370183,2018-08-25 23:20:00,8601 W LANCASTER AV,Milwaukee,WI,53225,43.11022,-88.0189,"FIREARM,HANDGUN"
182360040,2018-08-24 6:57:00,2541 N 15TH ST,Milwaukee,WI,53206,43.06497,-87.9317,HANDGUN
182320034,2018-08-20 5:10:00,2922 W VINE ST,Milwaukee,WI,53208,43.0551,-87.9507,FIREARM
182300128,2018-08-18 17:30:00,3127 W OKLAHOMA AV,Milwaukee,WI,53215,42.9882,-87.9543,FIREARM
182270097,2018-08-15 14:49:00,602 W CENTER ST,Milwaukee,WI,53212,43.06778,-87.9186,"FIREARM,HANDGUN"
182240156,2018-08-12 20:22:00,1000 W BURLEIGH ST,Milwaukee,WI,53206,43.07509,-87.924,FIREARM
182240119,2018-08-12 16:54:00,3165 N 20TH ST,Milwaukee,WI,53206,43.0765,-87.9377,HANDGUN
182240023,2018-08-12 1:53:00,7602 W MELVINA ST,Milwaukee,WI,53222,43.08813,-88.0076,FIREARM
182220028,2018-08-10 4:42:59,139 S 72ND ST,Milwaukee,WI,53214,43.03066,-88.0028,DRUGS/NARCOTICS/SLEEPING PILLS
182200092,2018-08-08 13:58:00,2614 N 35TH ST,Milwaukee,WI,53210,43.06648,-87.9571,FIREARM
182180164,2018-08-06 21:25:00,2656 N 5TH ST,Milwaukee,WI,53212,43.06698,-87.9166,FIREARM
182150015,2018-08-03 0:40:00,2660 N 36TH ST,Milwaukee,WI,53210,43.0674,-87.9583,HANDGUN
182060133,2018-07-25 17:04:00,2451 N 28TH ST,Milwaukee,WI,53210,43.06359,-87.9491,FIREARM
181910139,2018-07-10 16:45:00,952 W LINCOLN AV,Milwaukee,WI,53215,43.00299,-87.9237,PERSONAL WEAPON
181880030,2018-07-07 3:30:00,3265 N HOLTON ST,Milwaukee,WI,53212,43.07801,-87.9055,HANDGUN
181810009,2018-06-30 0:10:00,6330 W SILVER SPRING DR,Milwaukee,WI,53218,43.11972,-87.9907,HANDGUN
181780179,2018-06-27 22:36:00,2839 N 22ND ST,Milwaukee,WI,53206,43.07051,-87.9403,FIREARM
181770027,2018-06-26 4:06:25,2511 W NATIONAL AV,Milwaukee,WI,53204,43.022,-87.9454,FIREARM
181770026,2018-06-26 3:29:00,2775 N 15TH ST,Milwaukee,WI,53206,43.06938,-87.9316,
181610139,2018-06-10 21:27:00,8616 W CONGRESS ST,Milwaukee,WI,53225,43.09733,-88.0206,FIREARM
181480085,2018-05-28 13:35:00,3540 N HUMBOLDT BL,Milwaukee,WI,53212,43.08247,-87.8973,FIREARM
181480155,2018-05-27 23:00:00,2610 S 8TH ST,Milwaukee,WI,53215,42.99735,-87.921,LETHAL CUTTING INSTRUMENT
181460166,2018-05-26 22:49:00,4290 N 26TH ST,Milwaukee,WI,53209,43.09469,-87.9454,FIREARM
181460028,2018-05-26 3:15:00,2841 N 19TH ST,Milwaukee,WI,53206,43.07061,-87.9371,"FIREARM,HANDGUN"
181430179,2018-05-23 22:59:03,7929 W BECKETT AV,Milwaukee,WI,53218,43.10131,-88.0121,FIREARM
181380059,2018-05-18 11:10:00,3926 W GOOD HOPE RD,Milwaukee,WI,53209,43.14879,-87.9613,HANDGUN
181360090,2018-05-15 1:00:00,6522 N 70TH ST,Milwaukee,WI,53223,43.13637,-87.9978,LETHAL CUTTING INSTRUMENT
181340076,2018-05-14 12:40:00,3574 N 11TH ST,Milwaukee,WI,53206,43.08319,-87.9243,FIREARM
181340021,2018-05-14 3:09:35,3842 N 25TH ST,Milwaukee,WI,53206,43.08708,-87.9444,
181320091,2018-05-12 20:22:00,7835 W PALMETTO AV,Milwaukee,WI,53218,43.10739,-88.0091,HANDGUN
181320019,2018-05-12 2:04:00,2071 S 13TH ST,Milwaukee,WI,53204,43.00669,-87.9286,FIREARM
181230107,2018-05-03 17:42:32,2630 W AUER AV,Milwaukee,WI,53206,43.07716,-87.9468,FIREARM
181110118,2018-04-22 1:30:00,2960 N 18TH ST,Milwaukee,WI,53206,43.07252,-87.9354,HANDG
181070014,2018-04-17 2:39:00,2219 W ORCHARD ST,Milwaukee,WI,53204,43.01566,-87.9413,HANDG/RIFLE
181060074,2018-04-16 15:48:00,1117 W BURNHAM ST,Milwaukee,WI,53204,43.01004,-87.9259,HANDG
181060068,2018-04-16 14:15:00,2428 W MONROE ST,Milwaukee,WI,53206,43.06536,-87.943,HANDG
181050033,2018-04-14 23:41:00,3423 N 77TH ST,Milwaukee,WI,53222,43.0811,-88.0089,HANDG/KNIFE
181040020,2018-04-14 4:39:00,1522 S 11TH ST,Milwaukee,WI,53204,43.01541,-87.925,HANDG
181010080,2018-04-11 13:48:00,6210 W SHERIDAN AV,Milwaukee,WI,53218,43.11854,-87.9893,HANDG
181010078,2018-04-11 13:31:00,3132 N 56TH ST,Milwaukee,WI,53216,43.07607,-87.9828,HANDG
180980025,2018-04-08 3:15:00,1133 N 18TH ST,Milwaukee,WI,53233,43.04483,-87.9355,FIRE
180890051,2018-03-30 11:04:00,2012 W BURLEIGH ST,Milwaukee,WI,53206,43.07521,-87.9378,HANDG
180850017,2018-03-26 5:31:00,9825 W CARMEN AV,Milwaukee,WI,53225,43.12291,-88.0353,HANDG
180830023,2018-03-24 3:56:00,1951 N 33RD ST,Milwaukee,WI,53208,43.05623,-87.9555,HANDG
180800111,2018-03-21 19:14:00,3126 N 92ND ST,Milwaukee,WI,53222,43.07578,-88.0272,GUN
180760090,2018-03-17 14:35:00,1702 N 7TH ST,Milwaukee,WI,53205,43.05279,-87.9199,GUN
180740172,2018-03-15 23:26:00,4260 N 27TH ST,Milwaukee,WI,53216,43.09409,-87.9465,HANDG
180730053,2018-03-14 13:10:00,1231 S 17TH ST,Milwaukee,WI,53204,43.01836,-87.9346,HANDG
180640100,2018-03-05 17:36:00,2111 S 15TH PL,Milwaukee,WI,53215,43.00624,-87.9325,HANDG
180630034,2018-03-04 5:29:00,3384 N 22ND ST,Milwaukee,WI,53206,43.08079,-87.9394,KNIFE/HANDS
180580167,2018-02-27 22:55:00,6622 N BOURBON ST,Milwaukee,WI,53224,43.1372,-88.0385,HANDG
180560003,2018-02-24 23:42:00,2735 N 41ST ST,Milwaukee,WI,53210,43.0687,-87.9649,HANDG
180510178,2018-02-20 22:19:00,3735 N 6TH ST,Milwaukee,WI,53212,43.08479,-87.9189,HANDG
180490030,2018-02-18 2:31:00,3620 N 3RD ST,Milwaukee,WI,53212,43.08358,-87.9134,HANDS
180480083,2018-02-17 16:29:00,2411 S 5TH PL,Milwaukee,WI,53207,43.00143,-87.9181,HANDG
180460013,2018-02-15 0:35:00,9253 N 75TH ST,Milwaukee,WI,53223,43.18764,-88.0026,HANDS
180290121,2018-01-29 18:50:00,3249 N 10TH ST,Milwaukee,WI,53206,43.07752,-87.9241,GUN
180250100,2018-01-25 16:08:00,2245 N 44TH ST,Milwaukee,WI,53208,43.05986,-87.969,HANDG
180220167,2018-01-22 20:49:00,927 N 27TH ST,Milwaukee,WI,53208,43.04215,-87.948,HANDG
180110153,2018-01-11 20:23:00,2801 N 41ST ST,Milwaukee,WI,53210,43.06985,-87.9648,HANDG
180090119,2018-01-09 19:03:00,3109 N 6TH ST,Milwaukee,WI,53212,43.07512,-87.919,HANDG
173620042,2018-01-02 22:58:00,9838 W FOND DU LAC AV,Milwaukee,WI,53224,43.136,-88.0346,
173650100,2018-01-01 1:56:00,5477 N 40TH ST,Milwaukee,WI,53209,43.11731,-87.9627,GUN